sex,year,age,n,qx,lx,dx,Lx,Tx,ex,type
female,2032,25,5,0.00316782221231418,98709,313,492762.5,5954422.67115125,60.3229965975873,lower
female,2032,30,5,0.00358509930598133,98396,352,491100,5461660.17115124,55.5069329154767,lower
female,2032,35,5,0.00624245278071934,98044,612,488690,4970560.17115125,50.6972397204444,lower
female,2032,40,5,0.00766403645180572,97432,747,485292.5,4481870.17115125,45.9999812294856,lower
female,2032,45,5,0.0110450305956466,96685,1068,480755,3996577.67115124,41.3360673439649,lower
female,2032,50,5,0.0158486851131635,95617,1515,474297.5,3515822.67115124,36.7698492020378,lower
female,2032,55,5,0.0227988810024358,94102,2146,465145,3041525.17115124,32.321578405892,lower
female,2032,60,5,0.0341694717773998,91956,3142,451925,2576380.17115124,28.0175319843321,lower
female,2032,65,5,0.0489804149166398,88814,4350,433195,2124455.17115124,23.9202735058802,lower
female,2032,70,5,0.0748492374906155,84464,6322,406515,1691260.17115124,20.0234439660831,lower
female,2032,75,5,0.11881653600364,78142,9285,367497.5,1284745.17115124,16.4411605941906,lower
female,2032,80,5,0.188438452541418,68857,12975,311847.5,917247.671151245,13.3210519068685,lower
female,2032,85,,1,55882,55882,605400.171151245,605400.171151245,10.8335451693076,lower
female,2033,0,1,0.00812608788022395,1e+05,813,99241.4523384149,8436001.52191127,84.3600152191128,lower
female,2033,1,4,0.000859647044519432,99187,85,396546.37507983,8336760.06957286,84.050934795617,lower
female,2033,5,5,0.000551860718513278,99102,55,495372.5,7940213.69449303,80.1216291749211,lower
female,2033,10,5,0.000342025612940972,99047,33,495152.5,7444841.19449303,75.1647318393594,lower
female,2033,15,5,0.000866628586747284,99014,86,494855,6949688.69449303,70.1889499918499,lower
female,2033,20,5,0.00206858506091577,98928,205,494127.5,6454833.69449303,65.2477932889883,lower
female,2033,25,5,0.00314142813813827,98723,310,492840,5960706.19449303,60.3780901562253,lower
female,2033,30,5,0.00355849366637706,98413,350,491190,5467866.19449303,55.5604055815088,lower
female,2033,35,5,0.00620462543676637,98063,609,488792.5,4976676.19449303,50.7497852859185,lower
female,2033,40,5,0.00761901153293824,97454,742,485415,4487883.69449303,46.0513031224273,lower
female,2033,45,5,0.0109957892662833,96712,1064,480900,4002468.69449303,41.3854402193423,lower
female,2033,50,5,0.015780262237535,95648,1509,474467.5,3521568.69449303,36.8180065918057,lower
female,2033,55,5,0.0227227883888645,94139,2139,465347.5,3047101.19449303,32.368106677286,lower
female,2033,60,5,0.034037470323051,92000,3131,452172.5,2581753.69449303,28.0625401575329,lower
female,2033,65,5,0.0487819929035706,88869,4336,433505,2129581.19449303,23.9631501929022,lower
female,2033,70,5,0.0745139713312426,84533,6299,406917.5,1696076.19449303,20.0640719540656,lower
female,2033,75,5,0.118411905687542,78234,9263,368012.5,1289158.69449303,16.4782408478798,lower
female,2033,80,5,0.187810887993883,68971,12954,312470,921146.194493029,13.3555580532837,lower
female,2033,85,,1,56017,56017,608676.194493029,608676.194493029,10.865919176197,lower
female,2034,0,1,0.00800499447254291,1e+05,800,99253.3177131564,8444804.79504735,84.4480479504735,lower
female,2034,1,4,0.000833607221485935,99200,83,396603.147924338,8345551.47733419,84.1285431182882,lower
female,2034,5,5,0.000540633777589663,99117,54,495450,7948948.32940985,80.1976283524507,lower
female,2034,10,5,0.000337652824285362,99063,33,495232.5,7453498.32940985,75.2399819247333,lower
