age,year,central,lower,upper,type,sex
0,1950,0.0827801937895781,,,historic,male
0,1951,0.0795327293087652,,,historic,male
0,1952,0.0756418092909535,,,historic,male
0,1953,0.069351344462852,,,historic,male
0,1954,0.0651159231769837,,,historic,male
0,1955,0.0601102659655929,,,historic,male
0,1956,0.0614814814814815,,,historic,male
0,1957,0.0543172639435612,,,historic,male
0,1958,0.059447983014862,,,historic,male
0,1959,0.0523998464098298,,,historic,male
0,1960,0.0481558695596222,,,historic,male
0,1961,0.0464951430821738,,,historic,male
0,1962,0.0491065448602888,,,historic,male
0,1963,0.0546712613499617,,,historic,male
0,1964,0.0662551325381973,,,historic,male
0,1965,0.0558251041726126,,,historic,male
0,1966,0.045746294783522,,,historic,male
0,1967,0.0396860919643124,,,historic,male
0,1968,0.036030534351145,,,historic,male
0,1969,0.0353268515334355,,,historic,male
0,1970,0.0360586071292655,,,historic,male
0,1971,0.0347176650729665,,,historic,male
0,1972,0.0330161076719332,,,historic,male
0,1973,0.0283563057866294,,,historic,male
0,1974,0.0257438783452074,,,historic,male
0,1975,0.0251217712177122,,,historic,male
0,1976,0.0246622408572094,,,historic,male
0,1977,0.0250775594622544,,,historic,male
0,1978,0.0223066239619058,,,historic,male
0,1979,0.0236929704327394,,,historic,male
0,1980,0.0227380125086866,,,historic,male
0,1981,0.0216502692188425,,,historic,male
0,1982,0.0189585656686969,,,historic,male
0,1983,0.0194383196007891,,,historic,male
0,1984,0.0158982511923688,,,historic,male
0,1985,0.0154498998894301,,,historic,male
0,1986,0.0145323260823397,,,historic,male
0,1987,0.0158969777257463,,,historic,male
0,1988,0.0144260858680686,,,historic,male
0,1989,0.0172950976028486,,,historic,male
0,1990,0.0164663422807979,,,historic,male
0,1991,0.0154584049000227,,,historic,male
0,1992,0.014993481095176,,,historic,male
0,1993,0.0159323367427223,,,historic,male
0,1994,0.0130576713819369,,,historic,male
0,1995,0.0158535371961129,,,historic,male
0,1996,0.0116434243010609,,,historic,male
0,1997,0.0133230418148869,,,historic,male
0,1998,0.0120185003882381,,,historic,male
0,1999,0.0111394124639158,,,historic,male
0,2000,0.0109407689405632,,,historic,male
0,2001,0.0103732258629753,,,historic,male
0,2002,0.0104248764061045,,,historic,male
0,2003,0.0103689590737552,,,historic,male
0,2004,0.00869858647969705,,,historic,male
0,2005,0.00952015355086372,,,historic,male
0,2006,0.00987062015808722,,,historic,male
0,2007,0.00898939815374693,,,historic,male
0,2008,0.0090548251054329,,,historic,male
0,2009,0.00882664969234033,,,historic,male
0,2010,0.00860895155268591,,,historic,male
0,2011,0.00895438858315456,,,historic,male
0,2012,0.00984242183228116,,,historic,male
0,2013,0.00830140485312899,,,historic,male
0,2014,0.00864487318944295,,,historic,male
0,2015,0.00761987362160823,,,historic,male
0,2016,0.0080313153809813,,,historic,male
0,2017,0.00718944559739105,,,historic,male
0,2018,0.00673954138242788,,,historic,male
0,2019,0.00654860726803173,,,historic,male
0,2020,0.00656624179219776,,,historic,male
0,2021,0.00799584631360332,,,historic,male
0,2022,0.00765029373663356,0.0104218045359014,0.00562037831520923,forecast,male
0,2023,0.00731878457883779,0.0113305679074368,0.00473376879263633,forecast,male
0,2024,0.00700155146977404,0.0119674936537836,0.00410251544439616,forecast,male
0,2025,0.0067062582033102,0.0124341026657422,0.00361748442663409,forecast,male
0,2026,0.00641493164499915,0.0127841475494754,0.0032130679562994,forecast,male
0,2027,0.00613690157998919,0.0130662004337549,0.0028709288100514,forecast,male
0,2028,0.0058756761987981,0.0132988888802145,0.00259749194666013,forecast,male
0,2029,0.00561838322012039,0.0134487556674744,0.00234491679484825,forecast,male
0,2030,0.0053826367843344,0.0136157240919665,0.00212645613576933,forecast,male
0,2031,0.00514873507812251,0.0137308878550735,0.00193648091544992,forecast,male
0,2032,0.0049224449331329,0.0137497107798316,0.00176829052722802,forecast,male
0,2033,0.00471031703135328,0.0137718849703039,0.00161508573621818,forecast,male
0,2034,0.00451568792496151,0.0137685514928683,0.00148275789902114,forecast,male
0,2035,0.0043198882508431,0.0137397787121852,0.00135664707368966,forecast,male
0,2036,0.0041363304960184,0.0136559722437117,0.00124435712549324,forecast,male
0,2037,0.00395191087746539,0.0136393571925792,0.00114600253856956,forecast,male
0,2038,0.00378664608385641,0.0135533427114526,0.0010577020584398,forecast,male
0,2039,0.00362029431155794,0.0134340078832228,0.00097507870772766,forecast,male
0,2040,0.0034652239520275,0.0133001613796471,0.000899782078847771,forecast,male
0,2041,0.00331668775106784,0.0131688086366303,0.000832116993628199,forecast,male
0,2042,0.00317296450313136,0.0131122446752703,0.000772222276723454,forecast,male
0,2043,0.00303962745418596,0.0129282502841583,0.000711737089142725,forecast,male
0,2044,0.00290776002418222,0.0128019036455425,0.000659796214974907,forecast,male
0,2045,0.00278100479535788,0.0126269176061164,0.000612139745594494,forecast,male
0,2046,0.00265669112497228,0.0124467172012672,0.000566526482459949,forecast,male
0,2047,0.00254080903263847,0.012329122955385,0.000523684189095184,forecast,male
0,2048,0.00243260261454765,0.0121639137748144,0.000487404542385732,forecast,male
0,2049,0.00232852952423551,0.0119945484283818,0.000452867618120517,forecast,male
0,2050,0.00222698854336376,0.0118232310906301,0.000421429258381191,forecast,male
0,2051,0.00212876111388386,0.0116588964289293,0.000392439400303314,forecast,male
0,2052,0.00203954564203424,0.011489279251316,0.000364257310909628,forecast,male
0,2053,0.00194918535393059,0.0112946357026563,0.000339334634544546,forecast,male
0,2054,0.00186535944396109,0.0110815451592819,0.000315614958399592,forecast,male
0,2055,0.00178534667262988,0.0108925342130811,0.000293061310348322,forecast,male
0,2056,0.00170896349964053,0.0107098950587751,0.000274090313387224,forecast,male
0,2057,0.00163544996151768,0.0104848495353718,0.000254967352273802,forecast,male
0,2058,0.00156557858733439,0.0103066910112978,0.000238035872709746,forecast,male
0,2059,0.00149732143232469,0.0100927174510963,0.000221956986624344,forecast,male
0,2060,0.00143385503417517,0.00995786210163642,0.000207785175879054,forecast,male
0,2061,0.00137107280844094,0.00978506319921447,0.000194263799609692,forecast,male
1,1950,0.00974347890228045,,,historic,male
1,1951,0.0103781088702874,,,historic,male
1,1952,0.00920655656122671,,,historic,male
1,1953,0.00731873978931742,,,historic,male
1,1954,0.00556327265258093,,,historic,male
1,1955,0.00462641037378181,,,historic,male
1,1956,0.0041596083093963,,,historic,male
1,1957,0.00371044451406906,,,historic,male
1,1958,0.0034416353067967,,,historic,male
1,1959,0.00329142208586781,,,historic,male
1,1960,0.00292927145775978,,,historic,male
1,1961,0.00280094693552166,,,historic,male
1,1962,0.00285881110007594,,,historic,male
