age,sex,q_0025,q_0500,q_0975
0,female,-0.0281664487117277,0.00318116221688447,0.0304451031439725
0,male,-0.0355521323386117,-0.000488050018946362,0.0386091781812044
1,female,-0.0584614320008074,0.0280947699032215,0.116556147957528
1,male,-0.0944768141713354,0.0238958272168621,0.157551618833483
5,female,-0.0740358076628985,0.0418473712299896,0.15545469288714
5,male,-0.125598909265135,0.0333896603323867,0.166546389900664
10,female,-0.0738504819113236,0.0345697782231431,0.131550509831018
10,male,-0.0801412466468118,0.0185481290169642,0.129350803064729
15,female,-0.0586750710786661,0.0195517884209755,0.0903889485142683
15,male,-0.0607090702140435,-0.00413517477857628,0.0559777472462951
20,female,-0.0520702525983248,0.0137676023707938,0.0809219233551567
20,male,-0.0439451058359999,-0.00276760657099917,0.042574046495899
25,female,-0.0465021132981805,0.00971934178908773,0.0680446946054767
25,male,-0.0426890426708362,-0.00155362487294708,0.0427422658460363
30,female,-0.0400658557387722,0.00815703005442137,0.0626870047642421
30,male,-0.041437184170628,-0.000138525891217878,0.0397516032337036
35,female,-0.0370009633705978,0.00633164346228377,0.0542983320102127
35,male,-0.0365640469907006,-0.00063803721151201,0.0359741614504947
40,female,-0.0370605497525297,0.00358001073140946,0.0414534004041705
40,male,-0.0355670032531606,-0.00075138398547292,0.0322032281283127
45,female,-0.0302815637905768,0.00515437845582323,0.0404182345699657
45,male,-0.0333202760988197,-0.0013835451915698,0.0310573420967355
50,female,-0.0305006785535525,0.0020695538562463,0.033416000370521
50,male,-0.0284360404056145,-0.000514940614980919,0.0262594529501489
55,female,-0.028426019397723,0.00168737876285041,0.0296969877669267
55,male,-0.0279326856843184,-0.000948386174683513,0.0263243994988247
60,female,-0.0213295215394389,0.00222910342565275,0.0244667634891007
60,male,-0.025405483698673,-0.00299553346303805,0.0211266691873342
65,female,-0.0185125202461133,0.00277897136352934,0.0225051222308072
65,male,-0.0230220340681959,-0.001417782116657,0.0212630470840194
70,female,-0.0181616939208401,0.00051085950371732,0.0188806266584407
70,male,-0.0200022919861747,-0.00169923135513228,0.0182928571041561
75,female,-0.0180576929608796,0.00143761501934536,0.0192188355900362
75,male,-0.0205770514825734,-0.0014260749638062,0.0214060664916364
80,female,-0.016665050263728,0.000992575886413105,0.0174941862554671
80,male,-0.0237265698537884,-0.0020468066641508,0.0180875528334423
85,female,-0.0121683169509767,0.000108752079654773,0.0123281470629736
85,male,-0.0193805982401334,-0.00151265356321395,0.0168514209540517
